"day","daily_Diagnostics","daily_testes"
2020-03-02,0,45
2020-03-01,1,61
2020-03-03,2,40
2020-03-04,1,80
2020-03-05,3,81
2020-03-06,5,79
2020-03-07,7,84
2020-03-08,8,175
2020-03-09,8,306
2020-03-10,9,580
2020-03-11,16,938
2020-03-12,37,1551
2020-03-13,49,1253
2020-03-14,102,951
2020-03-15,100,1683
2020-03-16,132,2304
2020-03-17,144,2465
2020-03-18,171,2498
2020-03-19,267,3215
2020-03-20,237,2516
2020-03-21,327,2109
2020-03-22,342,4181
2020-03-23,342,5027
2020-03-24,698,5319
2020-03-25,573,6694
2020-03-26,790,7913
2020-03-27,925,6893
2020-03-28,731,5032
2020-03-29,548,7986
2020-03-30,1111,7962
2020-03-31,907,8650
2020-04-01,848,9299
2020-04-02,718,9479
2020-04-03,673,9158
2020-04-04,801,6716
2020-04-05,616,9369
2020-04-06,825,10623
2020-04-07,703,11691
2020-04-08,727,12209
2020-04-09,839,10216
2020-04-10,675,9121
2020-04-11,701,5210
2020-04-12,453,8944
2020-04-13,686,11920
2020-04-14,687,13649
2020-04-15,660,13474
2020-04-16,632,14720
2020-04-17,667,12795
2020-04-18,420,9502
2020-04-19,514,11089
2020-04-20,552,14930
2020-04-21,603,15531
2020-04-22,453,15183
2020-04-23,490,14817
2020-04-24,379,13446
2020-04-25,340,8241
2020-04-26,180,12207
2020-04-27,374,15516
2020-04-28,346,14774
2020-04-29,375,16438
2020-04-30,347,12673
2020-05-01,319,10583
2020-05-02,177,8440
2020-05-03,230,11889
2020-05-04,235,16157
2020-05-05,422,15774
2020-05-06,427,16033
2020-05-07,365,15428
2020-05-08,267,13522
2020-05-09,246,7507
2020-05-10,186,12737
2020-05-11,269,16644
2020-05-12,253,18215
2020-05-13,244,18329
2020-05-14,296,20598
2020-05-15,271,15994
2020-05-16,220,8970
2020-05-17,164,12108
2020-05-18,205,16195
2020-05-19,314,15442
2020-05-20,341,15346
2020-05-21,309,15184
2020-05-22,284,10783
