"day","daily_deaths"
2020-03-16,1
2020-03-17,1
2020-03-18,2
2020-03-19,1
2020-03-20,5
2020-03-21,5
2020-03-22,11
2020-03-23,11
2020-03-24,12
2020-03-25,16
2020-03-26,17
2020-03-27,25
2020-03-28,20
2020-03-29,23
2020-03-30,29
2020-03-31,35
2020-04-01,26
2020-04-02,37
2020-04-03,25
2020-04-04,28
2020-04-05,26
2020-04-06,41
2020-04-07,40
2020-04-08,34
2020-04-09,28
2020-04-10,38
2020-04-11,31
2020-04-12,34
2020-04-13,35
2020-04-14,34
2020-04-15,31
2020-04-16,28
2020-04-17,33
2020-04-18,30
2020-04-19,26
2020-04-20,28
2020-04-21,24
2020-04-22,37
2020-04-23,21
2020-04-24,30
2020-04-25,23
2020-04-26,24
2020-04-27,20
2020-04-28,27
2020-04-29,14
2020-04-30,20
2020-05-01,17
2020-05-02,20
2020-05-03,22
2020-05-04,10
2020-05-05,15
2020-05-06,16
2020-05-07,9
2020-05-08,11
2020-05-09,10
2020-05-10,9
2020-05-11,16
2020-05-12,10
2020-05-13,5
2020-05-14,10
2020-05-15,10
2020-05-16,13
2020-05-17,5
2020-05-18,10
2020-05-19,11
2020-05-20,11
2020-05-21,5
2020-05-22,10
2020-05-23,10
2020-05-24,11
2020-05-25,9
2020-05-26,10
2020-05-27,9
2020-05-28,11
2020-05-29,11
2020-05-30,9
2020-05-31,10
2020-06-01,12
2020-06-02,6
2020-06-03,5
2020-06-04,7
2020-06-05,8
2020-06-06,5
2020-06-07,7
2020-06-08,6
2020-06-09,4
2020-06-10,5
2020-06-11,1
2020-06-12,7
2020-06-13,5
2020-06-14,3
2020-06-15,3
2020-06-16,2
2020-06-17,5
2020-06-18,3
2020-06-20,3
2020-06-21,4
2020-06-22,7
2020-06-23,2
2020-06-24,6
2020-06-25,6
2020-06-26,6
2020-06-27,5
2020-06-28,4
2020-06-29,9
2020-06-30,2
2020-07-01,7
2020-07-02,12
2020-07-03,7
2020-07-04,9
2020-07-05,8
2020-07-06,9
2020-07-07,2
2020-07-08,13
2020-07-09,2
2020-07-10,8
2020-07-11,6
2020-07-12,1
2020-07-13,6
2020-07-14,8
2020-07-15,3
2020-07-16,3
2020-07-17,2
2020-07-18,5
2020-07-19,2
2020-07-20,7
2020-07-21,4
2020-07-22,3
2020-07-23,7
2020-07-24,4
2020-07-25,1
2020-07-26,3
2020-07-27,3
2020-07-28,3
2020-07-29,2
2020-07-30,7
2020-07-31,2
2020-08-01,1
2020-08-03,1
2020-08-04,1
2020-08-05,3
2020-08-06,3
2020-08-07,4
2020-08-08,6
2020-08-09,4
2020-08-10,1
2020-08-11,3
2020-08-12,6
2020-08-13,2
2020-08-14,3
2020-08-15,3
2020-08-16,1
2020-08-17,5
2020-08-18,2
2020-08-19,4
2020-08-20,3
2020-08-21,2
2020-08-22,2
2020-08-23,5
2020-08-24,4
2020-08-25,2
2020-08-26,2
2020-08-27,6
2020-08-28,3
2020-08-29,1
2020-08-30,3
2020-08-31,3
2020-09-01,3
2020-09-02,2
2020-09-03,4
2020-09-04,5
2020-09-05,2
2020-09-06,3
2020-09-07,3
2020-09-08,4
2020-09-09,2
2020-09-10,3
2020-09-11,5
2020-09-12,7
2020-09-13,4
2020-09-14,4
2020-09-15,3
2020-09-16,10
2020-09-17,6
2020-09-18,5
2020-09-19,13
2020-09-20,8
2020-09-21,5
2020-09-22,3
2020-09-23,3
2020-09-24,5
2020-09-25,8
2020-09-26,9
2020-09-27,4
2020-09-28,6
2020-09-29,9
2020-09-30,5
2020-10-01,6
2020-10-02,12
2020-10-03,12
2020-10-04,11
2020-10-05,14
2020-10-06,9
2020-10-07,11
2020-10-08,12
2020-10-09,5
2020-10-10,16
2020-10-11,14
2020-10-12,16
2020-10-13,9
2020-10-14,11
2020-10-15,20
2020-10-16,13
2020-10-17,19
2020-10-18,17
2020-10-19,16
2020-10-20,15
2020-10-21,17
2020-10-22,30
2020-10-23,19
2020-10-24,19
2020-10-25,30
2020-10-26,26
2020-10-27,26
2020-10-28,31
2020-10-29,40
2020-10-30,39
2020-10-31,36
2020-11-01,47
2020-11-02,48
2020-11-03,62
2020-11-04,45
2020-11-05,54
2020-11-06,57
2020-11-07,52
2020-11-08,61
2020-11-09,63
2020-11-10,80
2020-11-11,81
2020-11-12,70
2020-11-13,61
2020-11-14,80
2020-11-15,95
2020-11-16,73
2020-11-17,73
2020-11-18,74
2020-11-19,55
2020-11-20,61
2020-11-21,69
2020-11-22,75
2020-11-23,87
2020-11-24,69
2020-11-25,80
2020-11-26,72
2020-11-27,81
2020-11-28,65
2020-11-29,80
2020-11-30,70
2020-12-01,69
2020-12-02,75
2020-12-03,80
2020-12-04,75
2020-12-05,85
2020-12-06,82
2020-12-07,73
2020-12-08,74
2020-12-09,87
2020-12-10,99
2020-12-11,87
2020-12-12,103
2020-12-13,88
2020-12-14,84
2020-12-15,86
2020-12-16,78
2020-12-17,74
2020-12-18,88
2020-12-19,68
2020-12-20,65
2020-12-21,64
2020-12-22,85
2020-12-23,70
2020-12-24,68
2020-12-25,78
2020-12-26,64
2020-12-27,61
2020-12-28,72
2020-12-29,75
2020-12-30,75
2020-12-31,69
2021-01-01,81
2021-01-02,73
2021-01-03,84
2021-01-04,90
2021-01-05,93
2021-01-06,99
2021-01-07,117
2021-01-08,112
2021-01-09,105
2021-01-10,130
2021-01-11,156
2021-01-12,152
2021-01-13,144
2021-01-14,156
2021-01-15,173
2021-01-16,156
2021-01-17,171
2021-01-18,210
2021-01-19,219
2021-01-20,222
2021-01-21,241
2021-01-22,264
2021-01-23,275
2021-01-24,268
2021-01-25,280
2021-01-26,291
2021-01-27,296
2021-01-28,276
2021-01-29,292
2021-01-30,297
2021-01-31,282
2021-02-01,255
2021-02-02,246
2021-02-03,226
2021-02-04,246
2021-02-05,217
2021-02-06,195
2021-02-07,203
2021-02-08,195
2021-02-09,153
2021-02-10,164
2021-02-11,146
2021-02-12,154
2021-02-13,134
2021-02-14,89
2021-02-15,114
2021-02-16,126
2021-02-17,98
2021-02-18,68
2021-02-19,72
2021-02-20,67
2021-02-21,63
2021-02-22,59
2021-02-23,49
2021-02-24,50
2021-02-25,58
2021-02-26,31
2021-02-27,42
2021-02-28,38
2021-03-01,34
2021-03-02,41
2021-03-03,27
2021-03-04,27
2021-03-05,26
2021-03-06,30
2021-03-07,24
2021-03-08,32
2021-03-09,21
2021-03-10,17
